genotype,day,fly,fly_id,alpha,beta,p0,log_alpha,log_beta,logit_p0,chamber_id,fly_id_64,var,exp_name,date,jumpdata
GD,7,10,14,0.15527858596250002,0.4552699939875,0.25885525977499996,-1.862534446535205,-0.7868646426403002,-1.0519268742381434,14,14,1,1893mb,2024-03-05,000000100000000010000000000000100000010000000000000010000000100100010000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000100000000000001100000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000100000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000010000100000000000000000000000000000000000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000001101000000000000110000000101010000000100
GD,7,11,15,0.24250686022500004,0.701241242375,0.30721568949999994,-1.416725279417113,-0.3549033108150145,-0.8131686379243587,15,15,1,1893mb,2024-03-05,010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000100010000000000000000000000000000000000000000000001000000000000000001000010010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010010000000000000000100001000001010001000000100000000000000000000000000000000000000000000100000000000000010000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000001000000000010000010000000000000000000000000000000000000000000000100000000001000000000000000000000100000010000000010000000000000000100100000000000000000000000000000000000000100000100000000000000000010000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000001100000000000000000000000000000000000000001000000000010000000000000100000000000000001000000000000000000000000000001000010000000010000000000000000000000000000000000000000000000000000000000000000000000001000100010100000000010010001100000010010100000000
GD,7,12,16,0.28797192974999997,0.5160335310625,0.17261222356250003,-1.244892269742158,-0.6615835329325935,-1.567225884137726,16,16,1,1893mb,2024-03-05,100000000100000000000000000000000100000000000010000000000000000000000000000000000000010000000000000000100000000000000100000000000000000000000000000000000000000000000000000100010000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000100001000000000001001000000000000001000010000000100000000000000000000000000000000000100000000000000000100001000000000100000000000000000000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000000000100000000000001000000000000001000000000000000000000000000001000010000000100000000000000000000000010000000000000000000000000010000000000100110000000000001000000000000000000000000000000000011000010000000000000000000000000000000001000000000000000010000001000000000000001000000010000000001000010000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000011000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000110000010000000000000000000100000000010000000
GD,7,13,17,0.1548679597425,0.377027988751375,0.09831489716249998,-1.8651823977416067,-0.9754358535700045,-2.2160897855624393,17,17,1,1893mb,2024-03-05,000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000100
GD,7,14,18,0.25117968268124996,0.30388633025499995,0.248952321375,-1.3815867287051211,-1.1911015611339177,-1.104207738891491,18,18,1,1893mb,2024-03-05,000110100000000000000000001000000011000000000000000000000000000000100001000000000000100000000001000000000000000010101000000000000000000000000000000000000100000010000100000001100000000000000011000000010011000010001001000000010000000000000000000000100000000000000010000000000000000000000000000000000000000000011000000000000000010000101000000000000000010100000000100000100001000001000100000000000001100010000000000000000100001000000000011001000000001100000000000000000000000100001001100000101000000010010100000001010000000000000001000000000000010000000000100000001000001000100000000000000000100100010000000000000000010000000000000000000000000000100000000000000100000000000000000110100010001000000000100100000000000000000000000000000000000000000000000001100100000100000000000000000001011000000000010000000000011101000000000000000110000000001000000010100000000000100001000001010010000000000010010000000000010000000000000100001000010100010001001100000000000000000000000000010000000000000000000000000010010001100000000010000000000100100000110000101100101000
GD,7,15,19,0.20776410980000004,0.37988,0.29925951112499993,-1.5713519303446655,-0.9678998656073853,-0.8508264900325947,19,19,1,1893mb,2024-03-05,010000000000000000000010100000000100001000010000000000000100000010000000000000000000000000000000000000000000000000010000000000000000000000010000001000011000000000000000101010000100000000001000100100001011011010000000000100000000000000000000000001000000000000000000000000000000000000000100100001000000000000001000000000000000001000000010000000000000001100000010000000000000100000000000000000010100000000100001000010000000000000000000000100000000010001010000100000000001000000000000000000000100000010000000001000000000000000000000000000100000000000000000100000100000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000001001000000000000000000000000000001000000000000000100010000001000000000001010000000000100000000000000000000010000000000000000000000010000000000000100000000001000100000000100001000000000000010000001000000100001000000000100000000000010000100000000000000000010000010000000000000000000000000010100100000000000001000000000000000000000001000000001000011001110110000001001100000000100000000000000000011
GD,7,16,20,0.24127287497499997,0.6125147218625,0.17734167580000001,-1.4218267247088137,-0.49018230115823014,-1.5344627119920367,20,20,1,1893mb,2024-03-05,100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000011000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000010000000010000000000000000000000000011000000100000000000000000000000000000000010000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000001000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000010001000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000001000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000010000000000000000000001000000000000000000000000100000000100000001001
GD,7,17,21,0.23597378931250002,0.4748953198,0.26932383249999997,-1.444034542359563,-0.7446608786030182,-0.9980558684210792,21,21,1,1893mb,2024-03-05,000000100010000000000000100010000000000000000000001000000000000000000000010100000010000000000000100000000001000000000000000000000000000000000000001000000000000000000100000000000100000000000000010000000000001010010000100000000000000000000000000000001000001010000000000101010000000000000000000000000000000000000000000000000000000000100000000101001010000000000000000000000000000000000000000000101000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000100000000000000000000000001000000000000000000000000000000000000100010000000000100000000000000001000000000000000010000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000010000000000000110010000000001000000000000000000000000000000100000100000000000000010000000010000000000100001000001010000000100000000001000000000000000000011000000000000110000000000000000000000000000000000010010000000000000000000100000000000100101000001010000101110000000000100110110000010000010
GD,7,18,22,0.16870445483750002,0.22925846226250002,0.581807856625,-1.779606882917577,-1.4729052557133016,0.330199249912788,22,22,1,1893mb,2024-03-05,110100010000000000000001110000000100000000001010110000000000000000000001000101000000010010100010000000011101010000001010000000000100100001100111010010011000001000110101010000101010000100011000010001001001100111000000111100001010000110010000000100010100010001010010100101101000010001000011000000000000000000000000000000100000000110000001001110001000000000000000110000110010100000000000110000001001000010010100011010000101101000000100001000001101000011000101000100001000000000101000001000000001110000000000010100100001001001000000000001000010100000100000000100000000000100000000000000000000111100000000000110100000010000000100000100010000100010000000000001000000000010000000000001000000110010111001000001100000001000000000000000101010010000000001001101000000001001011001010100001001100001000100000000001111110011011010010001000000000100001001101000000000001000001000000000010001001000100110100100000000000001001100100110011001000111001000000000000000011001100010110000100010111010000011000000001010011011111111001000010100111110000110111001010010111100
GD,7,19,24,0.1164765537275,0.2464017641875,0.1748813358375,-2.150065281788939,-1.400791887496537,-1.5514195483457627,24,24,1,1893mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000100000000000000000000000000000000000110000000000000000000000000000000000000000001000000100000000000000000000000000000000000100000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000100000000100000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000010001000000001000000000000000000000000100000000100000000000000000011000000000000000001000000000000000000000000000000000000100000000000000000010000000000010100000000000000000000000000000000000010100000001000000000000000000000010000000000000000000000010000000001000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000010000000000100000000000000000000000110000000100000
