genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
KK,21,11,15,11,1,1973mb,2024-03-19,30,100011010010000100000001010000000100000001100000010001001000100101011010101100001010101101000010010010000010100100000100001000010000000101010101000000000111100001010000001000000000100010001000011001001011001011001001000000010010010100100010100101001010001000000000011110100010100000000110010001000000101000110100010100010101000010000000010001010110010000000110000001000010100000000000010000000101100010101111010110001010000001000001000000010010000010000000100100001000000000001010001001010010001100000001010000100000000000101000000000010101000001000010010010010100110110101000000000010001000010011101101100000000100000010001010100000000101001010000000000011001100010010011000000000001001100001000110100001010100000101001000000000010100000000001010010010001010000010000000000000000000000000000001010011000010010101100000100000011001010010110000100000000010000001010001011000010101010010100000011000100010001100010010010000000000101100000111111000010100010101000001011000001010110000000000000000000001011111111111111111111011011011001110111110101101101
KK,21,12,16,12,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000010000000000000000010000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000
KK,21,13,9,13,1,1973mb,2024-03-19,30,000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000100000010000010000000000000000000000000000000000000100000000000000000001000000000100001000000000000000000001010000001000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000010000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000001100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000100000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000011111000110000110011111000001100000001010001001010
KK,21,14,10,14,1,1973mb,2024-03-19,30,001111010010001010000000000000010111001100001010000000000000000000000000000100000000000000001010101100001000010000000000000000000000000101010000000000000000000000000000100000000000000000000000000000000001111001000011110000000000000000000000000001000000000000000001000000000000000000000101100010100000100010000000000100000000000000000000000001010100100110011000000000000000000010001000001000000000001001000000000000000000000000000000000000000000000000000000000000100100000000100000000000010000000001001000101010000010001001001001000100010000101100000010000000000000000000000000000000000000010010000000000000100011000000000000000000000000000000000000000101000001000000001001100100000000000000000000000000000100000011000000000001100000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000010000000001000000000001000000000000000000000000000000000000000000000000001010000000000000101111101000101011001000110000001000111001010111
KK,21,16,12,16,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000010000000010010000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000011000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000011000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010010000000000000000000000001001010
KK,21,17,21,17,1,1973mb,2024-03-19,30,000000000100100000100000000001000110000000000000000000100100001000000000000001000000000000001001000000010000000000000000000100001000001000000001000000000011000000000000000000000000010000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000100000000000110001010010000000000000000000000000000000000000000100110010000000001000000000100100010001000000000000000000010000010000001010000100000010000000000000000000000011100100100000000000000000100001001000000100100100110000000010010011000000000100000000000000010000000100000000000011000010000000000000000000010000000000000000000001110000000000000100000100100100000000000000000000010010000000000000000000000000000010000000000100000010000000000000100000000010010000000000000000000000001001000000000100011000000010000000010000000100000000100001000001000010000000000010100000000000001000000100000000000000010000010001100100000000001000000001000010000010010001000000100010000001010000000000000100000100010001000000000010100100011101011100101000111011010100011110111001001110010
KK,21,18,22,18,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000100011000000000000010000000000100000010000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000001101000100100100000000000000000000000010000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000001000000000000000000000000000000000000000001001000000100000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000100000010000000000011000000000000000000000000100100000010000000000000000000000000000000000000000010000000000000000000000000000000000011000000000000000001000000000000000000000000000000000000101000000000000100000000000001010100000000000000001000000000000000000000000000011000000000000000000000001000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000100011101010010000011101000010000000000000011001
KK,21,19,23,19,1,1973mb,2024-03-19,30,010011010000000000000000000000000000000001000000000000000000000000000001000000000000000000010000001000000000010010000000001000010000000000001000000010001000000000000000100000000000000000000000000000000100000000000100000000000001000000000001000000000000000000000001000000010000000000001000000000000000000000000000000100100000010000010000000100000000000000000001000000000000010001000001000000000000000001000000000010000000000000000000000100000000001000000000000000001010000001000010010000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000101000000100000000100000000000000000110000000000000000000000000000010000000000000000000001000000000000000000000100000000000000000000000000000000010000000000000100010000000000001000000000000001000000001000000000010000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000001000000010000000000001000000000000000000000000000000000000000000000001000000000000000000001000000000100010100001000000010000000100100010000010000101
KK,21,20,24,20,1,1973mb,2024-03-19,30,000010000100010000000000000001100001100000000000000001010000000100000100010000000010000000000000000000000001010000001010000010000010000100000000000011000000001001000000000000001001000000100000000000001000000000000100000000000000000010010000100011101000000000000100000000000101010000000000100000000000001000000010000000000100100000000000001000001000000000000000000000000000010000000000000000000100100010000000000000000000000100010000010101000000000100010000000000000000000000000000000100000000000001000001000000000000010000010010001011000010000000000000000000000001001100000000000000000000010000010000110100101000101100000000000000000000000000000000000000000000000001001100000000000000000001100000000110000000000000000000000000000001000000000000010000000000010110000001000010000000000000000010000000000000000000000000001010000000000000000000001000000000000000010000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010100000000010000000000000000000000000000100000100010000110010010001000110000001100010000100100
KK,21,21,17,21,1,1973mb,2024-03-19,30,001000010000000100000010000000000000000000000110010000001010000000100000000000000001000001000010000000000001000000000000000111001000000000000001000001010000100000000000000000000010000010000100000000000000000000000001000000000000000000010000011000000000010101000100000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000010000000000000100000000010000000000100000000000010000000000000000000000000000100000000000000000000000000000001000000100000000001001000000000000000000000000010000100000000000000000100010001000000000000000000000000000000000000000000001001000000000010001000000000010000000010001000000000001001000000001000000000000000100000000100000000000000000100000000000000100000100000000000000000100000000100001000000000010000000000000000000000100000000000010100101000000000010000010001000000000000000000000000000010000000000100100010000000010000000000000000000000000000000000000000000000000000100010000000000000000000000001000000000000000000000001000000000000100100110001100110000001001001000000000000011100
