genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
GD,14,1,3,1,1,1917mb,2024-03-12,28,110100100110101111000000010000001010011000000000000000101100110110100100001010000000100101000000100010000000000000000000000001000000001001100010010111001010001100000000010000001000100011010001010100001101010101100101000001000001000110010000000000100000000000010100100010000000000000110000000000001100010000000101010000010001010010010010000100000000000000000010000000010011000000000000000000000011100000001100110100100100000100100000010101100100000000000001010000000101000010000001000001100000001000000100000000000010010000000001001110101000000000000010101000000000010010000010000000000000000000000000100100010110110010001100100000100000101111000000100000100000010001000010010000000010010100010100100010010010100011010010100010100001000000100000000010000010001001101010000010000000000000100100101010000100110010000001001000110010000000000010000100000010000011110000000100010000100001101000000000000000000000001010100000101001000000001001001000000000000010110100010000000000000000101011000101101000000011110110010100011110110010111000111111001000111111
GD,14,2,4,2,1,1917mb,2024-03-12,28,110010000000000000001000101100101000000001010010000010100000001100000010000000000100100000001000000000000000011000011011001010010000000000000000000000000000001001100111000000100000010000000000100000001101000010101000000000110000110000000010000100000010000100000000000000010110010100100010000000000000000000100000000000000000100000001010000001011000100010010000000000000000000000000000000000000000000011010010000000100100001000000000000110010000001000101100000000000101010000010100000000000000000101000000000000000000000000100000000010100000000000000000000110010011000010000000010100001000000100100001110001011000000001001000100000001000010110001000000001000000000010101000000010000100100010000000000001000010101001010001000000100010000000000000000000000000000100000000010000100000000100100000100010000000001000111011100010010100000000000000010110000000000000000000000100000000001011100101100000000000000000000000000000000110000001000000010000101011000011001000000000000000000000000010000010000000000010111010111011111010011011011101011000101110010000
GD,14,3,5,3,1,1917mb,2024-03-12,28,000000000000110000000010000000100000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000110000000000000000000000000000000000000000100000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000010001010000101001000000000000000010000000000000000000000001000001000000000000000000000000000000000000000001000000000000000000000000010001000000000000000000000000000000000000110000010000000000000000000001000000000000000000000000000000000000000000000000000000000100001000000000100010000000000010000000000000000000000000000000000000000000000010100110000000000000000010000000000000000000000100100000000000000000000000000100010000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000100000100000000010000000001000001000000000010001000000000000000000000000000000000000000000000000000000000000000000010000000000000101001000000010000000100000000000000000100000100000000000001000000000000100000100010000000010000100000101100101000100000
GD,14,4,6,4,1,1917mb,2024-03-12,28,110101001110101101010110000111100000110100000101000001010010001011000001000100101011011100000000000000010000001000001000101000101000000001000001100000000100000100000010000101001100000001011000101010001101001010100101100110100000000100000101100110100100000001010000100000110000100000001001010001000000000000000001101010010010000101011000010010101101000010000000000000000011001000000011011001000001110011100000000000010100000100000000000000000010100010101000110110000100010100000000001011000010100001000100001010100101011000101001000100011000100100000001000110000011010001011010100011100101000000001001110101000010110101100010101100000110100101010000001001001010001010101000010000010000010100100100000010001010001000000000100101010000000000001010101000100000011100001000101001010101011000010000000010001101010101100010000010010000000010000010000000010000000000000000000000001001010000101011000100010000000000100111001010000000100100000000100000011000101101100100001100000010011000100010000000000000000001110101110011111111111000111010111001111110000111
GD,14,5,7,5,1,1917mb,2024-03-12,28,111111110111110100101010000111010000000000001001110001101111111010001110001100000100000000000111001000001000000000001110000000011100110110100100001011110000000011111100000000000000000000000011100000011110000000010101110101001100010011010000111001011000100100001001110100000011010110010000011110100001111010100010110000000000001010000010100000101011111010001000000010100100100001010000000011010011100111101000011000000100101010110100010001100100011111001010111111000100000011011010101111001010001110111100000101000000000000110100000010001010100001010010000000010000001110000111111011101011010000001011001011011110111100000100000001010001001001010100100100100000000000000001001101100101010111001000000011110110000010001100000000000100011000000101100000100000000000000001010000010010101100001000100100101111111111110101111100001110100011000110000101101011000001010110000000011000000111100100001001001011010000101100010001110001010011001010000101001110100001110010101000001101100000111101110101010100010011111111111111011010001111000011011011100111010100
GD,14,7,1,7,1,1917mb,2024-03-12,28,010100000000000001000000000000000000000000000000000000000010100001000000000000101010000000000000001000000100000010000000000000000000000000000000000000000000000000000000000000000000100000000010000000010001100000000000000000000000000000000000000100000000001001000000000000000100000001000000100100000100000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000001100001000000000000000000000000000000000000000100000100000000000000000001000000001010000000010000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000010000000000000000000000000000000100000100000000000000000001000000000000000000000000100000000000000000000100100100000000011001001000000000000000000000100100110000000000101
GD,14,10,12,10,1,1917mb,2024-03-12,28,001001100011100101001101000110110101100010101100101101111001111100111111001101101100010001001001100111010100100011110101101010001001011100001110001011101110001111110001010001000011100100101111110100110011111110110011100000010001000000000000001101000010010110010100010101001111100010111100100100000001101101001000100010101011100111111110010000001111110001100011000000000000001000010110100010110101000000000111011100100101101101100001101101111001000101100010001010011000011010101111111100100011000001010000100110011000000001100101001000000011000111110110100011001110000001000101000011000100001111000100101100100100100110101101101001100101000111001000000011010010010000100000011100001100000000000000001010000000010000101110000000001001100001101000000111010000010100110101010000111000111001010000001010000000011011011110111011100000010010110010101000110011011101000100111100010011100101010110100100100010010100100001011101000010111000110110001100010110001000010100110111100000110110100111100100000100010011101101111011111110101011110001011111010100110001
GD,14,11,13,11,1,1917mb,2024-03-12,28,000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001100000010000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010001000000000000000000000000000000000000000000010000000000000010000000000000000010000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000010000000000000001000000000000000001
GD,14,12,14,12,1,1917mb,2024-03-12,28,001010001001101001010010010101100001000010111010111110011110010000000000000000100000000010111100000100101001100100001011101001101010010000000000000010000000000000000001010001100100100010000000000000000101101011000000010110100000001000111100111101111101100000000000001110101010110011000001000100000100010111100001100010100010110100000010100001101010010010000000100001100101111100000000000110001000000011101100000110100000100101000011110000000100100010000100110010011010001000000010010110110100101100110011111001010000000000000010000000010100100000000010000111100100000000010000000000010000000010010110111101010100110001010100000000001011110100011100101101000000000000000100010010000000000000001110001011010011000010000101000101001001000000000000010000000000000001000011000110001101010000001000001000001111010110111001000011100000101000101010000111110100001101000110000100000001100001110101000000000000000000000000000001010000100000000000000000000000010011101000000000000001000000011011001101000000000010111001110111000011001000000101101111100001101000
GD,14,13,15,13,1,1917mb,2024-03-12,28,011011000111010110011111010000000000101110010001011000101010101100101011101010110000010010101010111110110100100010000100001011000010010001001001000000010100101000000001001101101101010010001010001000001111010110100110100000100011000100100011011101010000111011011100011011010001010000000010100101000110100001101100000010100101100110000000001000110010001010001010111010100100000000000001000010111001000010101100000000010100000000010001001000010000000000000111001001101001010000000000100011001000010000000001010111000000001000010010110101000111001000100100000101000100001000110101010000100000100010001001111110101111000100001001010101011101010001100101000000010010000110010000100101001101100001000010100100001101111101000011000101000001010101100010000001010000001100110000000100101010010100001010010000101011110010001010100011000010100001110011011000000000000010000001000111001010100001101000100001001000111010100000001001000000001000010010010100000000100001000100100001000010100000111000000110110111100010101111111111110110100100011001101101101101111110
GD,14,14,16,14,1,1917mb,2024-03-12,28,010100010110000000000000100000010000000110000100110100100000101000000000100001000001010000000000100101000001000101010000000000100100010010100001000000000000100000000001000000100000000000011100100100001011110010100010000000000110010101011000001001100000000000110000100000000011000010110000110001011100101010110010000000101001010100000000000000011010101001000010000010010000000001000101110010010000100000101010011000000000000000001001000001001000010100010110000000010010000000000000000000100100000000001001010010101000000000000001000100000000010000010000000011001001000000000001001100010000110000100000010000101010010011010000100010000101010001001010100000000110011000000000000001100000000000011000110110110000001000110011000010001000000000000010001000001010010010100000010001100100100001000000100000001010010110110101000000000000000101101000010100000000000000001000000010010000010011000000111001000101100100010010011110001011001100000000000001100001010101000001010101100000010000000000010101011100101010111111010100000111001111011100011011111111011011
GD,14,15,9,15,1,1917mb,2024-03-12,28,000000000001111000010001000000000000000011100110100010000101000000111000010001001101100000100100001001100101100001011001010010000100000010011000100100000100001000010100100010000001000100000100100010011100010101110110100010001010000000101000000110000000100001011010010110101010001000010010000010010001010110010100100110110010100100000000011001000000000000100010100100011101010000010100000000000100001100010100110101001001100010000010010100101100000000000010000000100000001000010000011001101001000000000100000000000100010010110010101010101000101100101100001010000001001000000001010001001000001010101001110101110001110000000000000000000101000001000001001000011000000110000010100000000000001100100000011011001000010101000000000000000000101010001001010000001001001110010001010101101110000010110010101010011111101000101000010000101101001000000010000101110101000000000100010110000100100000000100010010101100100010010101110000000000010001010101001001001100001000101100001011010100001101010010000010100010000011011011001111111101101111101011011110110101111111
GD,14,16,10,16,1,1917mb,2024-03-12,28,000000010010001000101000111100100000100000000000000010010001000000000000000000000000000000000000000000000000000000000000000000000000100000010000000010001100000000000001000001010010110110010000100000000010000000110001000000010000000000000001100000000100111100100100000000010110100000000000011010010000000001010000000100010000000000000000000101010011000100001000001010000000100110010000000110010010000011011011000000001000000010000100100000000000000000100000000011000001011000010011110000001110000100000010000000000001010100000010100000000000111000000100010001011100000000001010000000010010100010001001110010100001100000010100000001010000101010000000000100000000010100010100010010000000010010101000000010000000000001010010000100100000000000000000000001000000000100100000101000010100010000000101100100000000000000000010000000000100000000010010010000010000100000010001000000000000000100000000000000010000001010000100000100000000000000100100000010010001000011001000100000000010010000010100000000010000000001010001111110000000001001111001100111110001110000
GD,14,17,19,17,1,1917mb,2024-03-12,28,000000001010000000000000001000000000000000000001010000000111000000000000000011000001000100000000000010010000000000000000000000000000000000000000000000000000000000100000000000000000100000000001000000100101010000010001100000000001010100000000001000101000000001000000000000000000000001000000000000000000001000000000101000100001000001100010100000100111011000000000000000001010000000000000000001010000000001010000000010001010000100000000010001000000000000000000000000001000000000000000000000000000000100000001000111001000000000010000000000000001001000000001010000000100000100000000000000000000000001100010000000001100011011000000000010000000000000000000000000000010000001101000000000000000000000100000000000000000000001001000000000000000000000000100000000000000000010010000001000000000010000000000000000001001101100000101000010000001100001100010000000000000000000000010001000001010000000000000110000010000000001010000100000000010001000000001000011000010000000000000000010000000000000000000001100100000000100000010001100010000100000100000001100010001100000
GD,14,18,20,18,1,1917mb,2024-03-12,28,110101001001111000100111010001000000000000010100000000000000000000000000000000000000000000010000010001010000001010000000000101000000101101001100000000000000000000000000101100001000010000000000100100000001001100000001000000000001001000000000000010010000000000100000000000000001000010000000000000000100000001010010011000000000000000000100000000000100001001000100010100001100001110000000010000101000000010000010110100101010000001000001101000000000001101011100000011011000000001000000000010010000001000011110001000000000001100000000100000000000101001000000001011001000000000110000000000001000000000000000111010000000000000010110001000000110000001000000010100001101000100001000010001010000000100101010000000000000010000000000000000000000001010000010100010001000100000000000000010000010000000000100000011000111111110001010000100000010010000000110000001000000000001100000011000000110100111010110101000011001000010110000001001001100100001000010000000100010000000001001011111010000000001000000000011001000110010001000010111000111010000111101110101111100111110
GD,14,19,21,19,1,1917mb,2024-03-12,28,110000000111100001100000101000101110000010101000000100000000101000100001000100100010010001111110001011101000000000010010001000000100101000000001001010001110000110001010101001011010010001100000001101111111000001010100000100010111010011001000000011100100100110101000010000010000100010001100000010000000011111001001101001100010000000000011100100000000000111000001000100010000001000001000010111110111000011000111101111011010110110101001000001110010000010100001000100011010000010000011001111001001101001111001001000000101101001010111000001010010111000001011010100000100010001000101000001001000011100100100111110001110111011100001010101010101010100100110011110011010100000111010110100001101010010001100011010110000000011010011100011100000010001010000011101100001011100101000010000001100010010010010101000010111011011001011110010101101000100000100111101001000010101100010001010001100010101111100000111100000000101100110100001110110000010010010111100010011000001101000000000110110000011001001110000010000111110110111001010011111111111011110110111111001101001
GD,14,20,22,20,1,1917mb,2024-03-12,28,000100000101001000010010000000100011000100000100010010000001000100101001001100010000000000000000000010000001100001000000000000001000001001000000100001010000000000100000000100000000000000100010100010010001010000110001000000100100000000000001001100100010000001000000000000010000101000000000001000000000000000100100110000000010000000000000100000000000000001000000001000110000000000000100000000100000000000000001110000001001010010010000010011000000001001111000100000000000000100100010110010000000000000010000000000001101000001000000010000100001011100001000011010110000000000001101110000010111000000101010010011011000010010010100100101001111000000000000101001000110010000000000000000000000011100010000000100001000000000100000000001001000000000010011000100000000100000110000000000000000000000000000100000000101100000000000010011000000000101000101001010000010001110101001000100101010000100001100000000000000000001001000000001000000000001000000000001010001010000000010010000100100000000100000111100010100100001100110101111001101011011011000011001001000000000
